Id,Address,Sold Price,Summary,Type,Year built,Heating,Cooling,Parking,Lot,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Total spaces,Garage spaces,Region,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed On,Listed Price,Last Sold On,Last Sold Price,City,Zip,State
10,391 Kohner Ct,1310000,"Striking home in one of the best neighborhoods of Santa Clara. This property has a spacious floor plan with 4 bedrooms, family, dining, and a bonus room. Situated on a large 7,572 square foot corner lot, and just 4 minutes to Santana Row and Westfield/Valley Fair mall. The home features brand new gorgeous flooring, new paint, A/C, and dual pane windows. The side yard has plenty of space to park a boat or RV and an above ground hot tub. This home is within walking distance to a couple amazing parks. Do not miss this wonderful Santa Clara family home!",SingleFamily,1953,Forced Air,Central AC,"Garage, Garage - Attached, Covered",7570,4,2,2,1579,2,2,Santa Clara,Westwood Elementary School,7,0.4,Buchser Middle School,5,0.9,Santa Clara High School,6,1.9,"Tile, Laminate","Forced air, Electric, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Garage,"Garage, Garage - Attached, Covered",71347,904,2019/9/20,1428000,,,Santa Clara,95050,CA
11,1481 Alegria Loop,810000,"1481 Alegria Loop, San Jose, CA 95128 is a townhome home that contains 1,393 sq ft and was built in 2002. It contains 3 bedrooms and 2 bathrooms. This home last sold for $810,000 in January 2020. 
 
The Zestimate for this house is $870,742. The Rent Zestimate for this home is $3,300/mo.",Townhouse,2002,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",653,3,2,2,1393,2,2,San Jose,Sherman Oaks Elementary School,4,0.6,Monroe Middle School,4,1,Del Mar High School,5,0.2,,Forced air,Central,,Inside,"Garage, Garage - Attached, Covered",679900,9272,2019/9/5,849000,,,San Jose,95128,CA
12,2425 21st Ave,2100000,"An Heirloom Your Family will Cherish  This is a residence that provides ample space for everyone in even the largest family. It was designed for a large family and it affords comfort and privacy for all the occupants.  This home is an heirloom quality one-of-a-kind residence. The 1926 details are intact, including the fireplaces, the breakfast room, mahogany moldings, and delicately patterned walls. Located 1/2 a block from the L Taraval, 3 blocks from tech shuttle stops, and with easy access to the freeway south, this home is walking distance to one of San Francisco's best high schools, a public library, Stern Grove and several other parks. It is a place to settle in and live the good life for many years to come!",SingleFamily,1926,,,"Attached, Garage Door Opener, Interior Access, On Site (Single Family Only)",3998,6,3,3,3351,2,2,San Francisco,Feinstein (Dianne) Elementary School,8,0.3,Hoover (Herbert) Middle School,7,0.5,Lincoln (Abraham) High School,7,0.4,,,,"Dishwasher, Disposal, Range Hood","Laundry Closet, In Garage","Attached, Garage Door Opener, Interior Access, On Site (Single Family Only)",2080800,25099,2019/10/4,2250000,2018/4/20,2000000,San Francisco,94116,CA
13,5947 S Van Ness Ave,565000,"Completely Remodeled from front to back. Three Bedrooms with two bathrooms move in ready home in one of the highly sought after section of Los Angeles and very close to the new Ram and Charger stadium. This home comes with an open floor plan with plenty of space , comes with New Recess Lighting throughout, New Laminate flooring throughout . New Tankless Water Heater, New Electrical Panel Box upgraded to 220 volts, New Central Heating,  New Plumbing , all New electrical outlets, New Kitchen comes with New Appliances, Microwave, Dishwasher New Stainless Steel center island, even a refrigerator. All New Vanities, New fixtures, New Gate , washer and dryer inside hook ups, all New Ceiling Fans throughout. All New outside landscaping for water conservation. Fireplace for maybe some romantics evenings or just enjoying the Christmas Tree by the fire. This home house to much to mention, you need to come see it for yourselves. Come make this your new Home. Also ask about a carport or garage installation.",SingleFamily,1923,Wall Furnace,Evaporative Cooling,Driveway,4800,3,2,2,1292,0,0,Los Angeles,Fifty-Ninth Street Elementary School,2,0.1,Audubon Middle School,2,1.6,,,,"Laminate, Tile",Wall Furnace,Evaporative Cooling,"Dishwasher, Disposal, Microwave",Laundry Room,Driveway,464100,5734,2019/11/6,565000,2019/2/26,455000,Los Angeles,90047,CA
14,15994 3rd St,185000,"15994 3rd St, Snelling, CA 95369 is a single family home that contains 1,272 sq ft and was built in 1947. It contains 2 bedrooms and 2 bathrooms. This home last sold for $185,000 in January 2020. 
 
The Zestimate for this house is $230,302. The Rent Zestimate for this home is $1,375/mo.",SingleFamily,1947,"Propane, Electric, Wall Furnace, Wood Stove","Window Unit(s), Ceiling Fan(s)","Garage - Attached, Garage - Detached",7662,2,2,2,1272,0,0,Snelling,Snelling-Merced Falls Elementary School,4,0.3,,,,Buhach Colony High School,5,13.8,"Laminate, Linoleum/Vinyl","Stove, Wall, Electric, Propane / Butane",,"Dishwasher, Garbage disposal, Range / Oven",Inside Area,"Garage - Attached, Garage - Detached",148571,1586,2019/11/27,187500,2002/5/13,110000,Snelling,95369,CA
15,855 Folsom St APT 903,1155500,"Stunning Yerba Buena Loft PENTHOUSE!  Awarded 2/2 with soaring ceilings, flexible layout, skylight, balcony and a great location with amazing VIEWS!    HIGH-END FINISHES: Beautiful natural concrete, refinished wood floors, sliding custom glass doors, designer paint throughout, custom window coverings, designer lighting, stair treads & a ceiling fan.  Kitchen is upgraded with re-done cabinet surfaces, newer updated stove/oven, dishwasher, refrigerator, washer/ dryer, granite counter tops and modern stainless steel appliances.   AMENITIES: Doorman building, concierge room, 24 Hour Security, Engineers, On-site professional management!  Deeded Parking and Separate Storage.  FEATURED IN:  The Phaidon Atlas of Contemporary World Architecture, SF Best of the Best (Global Architecture) Houses, NY Times, Architectural Record, Praxis, Dwell, & American Institute of Architects.   Loft delivered empty -Pictures Virtual Staging Photoshopped!",Condo,2001,,,"Side By Side, Side by Side, On Site - Mapped (Condo Only)",,2,2,2,,1,1,San Francisco,,,,,,,Five Keys Independence High School (Sf Sheriff's),2,0.2,,,,,,"Side By Side, Side by Side, On Site - Mapped (Condo Only)",1259700,15970,2019/11/21,1154500,2018/7/13,1235000,San Francisco,94107,CA
16,509 Belmont Ave,1750000,sold before processing.,Unknown,2018,Central,Central Air,Garage,,,,,3900,4,1,Los Angeles,,,,,,,Belmont Senior High School,3,0.6,,Central,Central Air,"Dryer, Washer","Laundry Room, Inside",Garage,1004661,12448,2018/10/8,1800000,2015/6/3,497000,Los Angeles,90026,CA
17,704 San Conrado Ter UNIT 1,900000,"Good location near offices in Sunnyvale and Santa Clara - Easy access to 101, 237, 85, and Central Expressway.
Close to VTA Lightrail, Caltrain, bus lines on Fair Oaks Ave.

2 large bed rooms with lots of closet space.
2 bath rooms.
Living areas are prefurnished.

In-unit laundry room with new washer and dryer.
Patio with additional storage space.
Brand new refrigerator, washing machine, oven, and microwave oven in kitchen.

2 car tandem garage + 2 visitor parking passes.
Central heating and air conditioner.

Water and Garbage Paid
Community Pool

Schools : Sunnyvale School Dist, Fremont Union High Dist.

Non-smoking.
Proof of income required.

Available to rent right away.

Electricity and Gas is not included.

Full months deposit required.",Apartment,1986,Forced air,Other,"Garage, Garage - Detached, Covered",,2,2,,1078,2,2,Sunnyvale,Bishop Elementary School,4,0.8,Columbia Middle School,3,0.3,Fremont High School,7,2.7,"Carpet, Laminate, Linoleum / Vinyl",Forced air,Other,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Unit,"Garage, Garage - Detached, Covered",253149,3125,2019/11/12,888000,,,Sunnyvale,94085,CA
18,708 Tulane Ct,2290000,"708 Tulane Ct, San Mateo, CA 94402 is a single family home that contains 2,100 sq ft and was built in 1939. It contains 3 bedrooms and 2 bathrooms. This home last sold for $2,290,000 in January 2020. 
 
The Zestimate for this house is $2,400,042. The Rent Zestimate for this home is $5,700/mo.",SingleFamily,1939,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached",6952,3,2,2,2100,0,0,San Mateo,Baywood Elementary School,6,0.4,Borel Middle School,6,1,Aragon High School,8,0.5,"Hardwood, Marble","Forced air, Gas",Central,Refrigerator,"Gas Hookup, Inside","Garage, Garage - Attached",1836000,21521,2019/6/14,2390000,2017/9/22,1800000,San Mateo,94402,CA
19,1490 W 153rd St,415000,"EXCELLENT OPPORTUNITY TO INVEST Ready to move in, 2 bedroom 1 bath home!  This home has been recently remodeled with upgraded kitchen, upgraded bathroom, newer roof, fresh paint, new laminated floors, and so much more. Park 2 cars inside.  There is a rear unit 2 bedroom 1 bath well laid out with plenty of space.",SingleFamily,1949,Central,None,"Gated, Parking Space",2621,2,1,1,634,0,0,Compton,Laurel Street Elementary School,7,0.2,,,,Compton High School,3,1.3,Laminate,Central,None,,"Laundry Room, Inside","Gated, Parking Space",167774,3416,2019/9/7,430000,2013/12/9,180000,Compton,90220,CA
20,114 Racquet Club Dr,335000,"Come take a look at your new home, located conveniently near shopping centers and Compton High School. This charming home offers 3 bedrooms, 3 bathrooms, and over 1,600 sqft. As soon as you enter, you'll find the kitchen which offers plenty of cabinet space, counter space, and a big window for natural lighting. Following through the dining room, you're greeted with a cozy living room that comes with a fireplace. Not to mention, the downstairs has a laundry room and a powder room, perfect for visitors to use. As you make your way up the carpeted stairs, you'll find the master suite along with a balcony that oversees a variety of green trees. Although there are some minor repairs to be made, this diamond in the ruff is looking for its new owner. Come and see it for yourself!",Condo,1988,Central,Central Air,"Driveway, Concrete, Garage, Garage Faces Front",,3,3,2,1612,2,2,Compton,Dickison Elementary School,4,0.8,,,,Compton High School,3,0.3,"Carpet, Laminate, Tile",Central,Central Air,"Dishwasher, Disposal, Gas Cooktop, Range Hood","Laundry Room, Inside","Driveway, Concrete, Garage, Garage Faces Front",348000,7418,2019/11/6,320000,,,Compton,90220,CA
21,1779 10th Ave,1380000,"Charming Light-Filled Inner Sunset/Golden Gate Heights Home.  Upper level features 2 bedrooms (split level master bedroom with bedroom/office) and access to terraced yard.  Combined living room / dining room with coved ceilings, wood burning fireplace and refinished hardwood flooring throughout.  Large all electric, eat-in-kitchen with laminate flooring.  Split bathroom off hallway.  Lower level features large welcoming formal entry, and two bonus rooms with 3/4 bath.  Washer and dryer, storage area and one car garage parking with access to the terraced yard.  Close to Irving Street and 9th Ave restaurants and shopping, Golden Gate Heights Park, UCSF Medical, Golden Gate Park and public transportation.",SingleFamily,1922,Gas,,"Independent, On Site (Single Family Only), Driveway",3000,2,1,1,1293,1,1,San Francisco,Yu (Alice Fong) Elementary School,8,0.3,,,,Independence High School,3,0.5,"Carpet, Vinyl, Wood",Gas,,"Dishwasher, Gas Water Heater",,"Independent, On Site (Single Family Only), Driveway",1380000,17314,2019/11/16,1288000,,,San Francisco,94122,CA
22,6555 State Highway 36,360000,"Charming, adorable, two story country home on approx. one acre. This home has just had a complete makeover with new floors, windows, all new kitchen with new appliances, new paint throughout, new bathroom vanities, fixtures, new wiring.. Woodburning stove in Kitchen. Back room can be used as a bedroom or family room. Large laundry room with storage. This 3+ bed. 2 bath home sits on 3/4 of flat usable land.. Three out buildings for storage, lots of fruit trees, large garden area. Close to Cuddeback school.",SingleFamily,1920,"Woodstove, Wall",,Garage - Detached,43560,3,2,,1644,0,0,Carlotta,Cuddeback Elementary School,6,0.3,,,,East High (Continuation) School,2,7.7,"Carpeted, Vinyl, Laminate",Gas,,Range / Oven,"220, Dryer Hookup, Washer Hookup",Garage - Detached,202221,2093,2019/9/9,386000,,,Carlotta,95528,CA
23,2072 Brittan Ave,1600000,"Welcome to this nice and bright ranch stye home. Within walking distance to popular Laurel Street. The top rated schools a few blocks away-Brittan Acres Elementary-Central Middle School- Arroyo 4th,5th grade to name a few. The home has three perfectly laid out bedrooms as well as a bonus office! The kitchen is nicely and freshly updated and the private backyard is a dreamy grass filled get away. Crown molding throughout and stacked stone fireplace. Enjoy Burton Park and Music in the park in the summers. Farmers markets and annual wine fair. Perfectly situated between San Fransisco and the Silicon Valley. Close proximity to all major highways and the Cal Train.",SingleFamily,1952,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached",5000,3,2,2,1350,0,0,San Carlos,Brittan Acres Elementary School,9,0.2,Central Middle School,9,0.4,Sequoia High School,6,1.7,"Tile, Hardwood","Forced air, Gas",Central,"Garbage disposal, Range / Oven",In Garage,"Garage, Garage - Attached",442672,6434,2019/11/7,1499000,1994/7/22,294000,San Carlos,94070,CA
24,1741 1/2 S Spaulding Ave,1200000,"Completely Remodeled 3 bedroom + 2 bath house PLUS completely permitted ADU (Assessors Dwelling Unit)~ 1 bed + 1 bath. House is completely remodeled. Total permitted square footage is 1487, House is 1127 square feet and ADU is 360 square feet. New bathrooms, new flooring, new windows, new kitchen, new appliances, AC and Heat, Master Suite with good closet space. Completely New Built Permitted ADU with kitchen, washer and dryer hook ups, and bathroom. Great space to work or rent. New Landscaping and new sprinkler system. Wonderful area close to many shops and restaurants. Great investment.",SingleFamily,1938,Central,Central Air,Driveway,4808,3,2,2,1487,0,0,Los Angeles,Saturn Street Elementary School,4,0.5,,,,Fairfax Senior High School,7,1.9,Laminate,Central,Central Air,"Dishwasher, Refrigerator, Built-In",Laundry Closet,Driveway,,,2019/11/4,1249000,,,Los Angeles,90019,CA
25,1789 Nelson Way,945000,"Great starter home in the highly desirable Cambrian area with award winning schools! Bring your decorating ideas and make this gem of a home your own. Kitchen has stainless appliances including gas stove and tile counters. Other features include double pane windows, copper pipes and hardwood flooring. Relax in your large backyard with established fruit trees including apricot, peach, apple, pear and lemon. Short stroll to Butcher Dog Park and a great location close to all amenities and easy commuter access. Nice tree lined street with great vibes!",SingleFamily,1956,Central Forced Air,None,"Garage, Garage - Attached, Covered",6943,3,2,2,1105,2,2,San Jose,,,,Price Charter Middle School,7,1.1,Branham High School,8,1,"Hardwood, Vinyl / Linoleum",Forced air,None,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",574244,8230,2019/11/18,938000,2011/7/21,500000,San Jose,95124,CA
26,1777 Cape Coral Dr,1350000,"Very fancy house and quiet neighborhood.

Living room, dining room, master room, patio with basic furniture. TV, refrigerator and wash/dryer included. Owner pays for garbage and sewer, tenant pays for PG&E, water, internet. 6 month lease or longer.",SingleFamily,1977,"Forced air, Gas","Refrigerator, Central","Garage, Garage - Detached, Off-street, Covered",6429,5,3,3,1910,2,2,San Jose,Vinci Park Elementary School,8,0.5,Piedmont Middle School,5,1.9,Independence High School,6,0.7,"Tile, Laminate","Forced air, Gas","Refrigerator, Central","Dishwasher, Garbage disposal, Range / Oven, Refrigerator",In Unit,"Garage, Garage - Detached, Off-street, Covered",974854,13610,2019/10/24,1098000,,,San Jose,95133,CA
27,2212 Leland Ave,1888888,New Modern Masterpiece tucked away in a prime Mountain View location with 4 bedrooms and 3 baths.,SingleFamily,2019,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered",4476,"Master Bedroom on Ground Floor, Walk-in Closet",3,3,1797,1,1,Mountain View,Monta Loma Elementary School,6,0.3,Isaac Newton Graham Middle School,6,1.6,Los Altos High School,8,1.3,"Tile, Marble, Laminate, Carpet, Stone","Forced air, Gas",Central,"Dishwasher, Microwave, Range / Oven, Refrigerator",Electricity Hookup (110V),"Garage, Garage - Attached, Covered",1120713,13725,2019/10/17,1998000,,,Mountain View,94040,CA
28,1041 N Hillcrest Rd,11200000,"Welcome to Trousdale Estates, Beverly Hills most prestigious and sought after neighborhood, where the world's style masters choose to call home. Minutes from the Beverly Hills Hotel, Rodeo Drive, and world class dining & entertainment. Designed by leading Los Angeles architect Vigen Pezeshkian and finished with all of the best materials including onyx and rare stones throughout. A stunning open floor plan with striking city to ocean views throughout allows for a perfect balance of seamless indoor outdoor living giving you that quintessential SoCal lifestyle that most people only dream of. Every room has been masterfully designed with striking modern lines, top of the line finishes and all of the latest and greatest amenities. Entertain guests in style on your private back yard patio deck complete with an outdoor bbq, pool, spa and lounge area. This modern architectural masterpiece is a rare opportunity to own one of the most chic and sophisticated state of the art homes in the world.",SingleFamily,2018,Central,Central Air,"Driveway, Garage",,5,6,5,6167,0,0,Beverly Hills,Hawthorne Elementary School,8,1.2,,,,Beverly Hills High School,9,2.4,"Wood, Stone, Tile",Central,Central Air,Disposal,Laundry Room,"Driveway, Garage",3762702,45281,2019/4/12,13900000,,,Beverly Hills,90210,CA
29,318 Riverview Ave,975000,"Capitola Village beach house. Just off the Esplanade, Beach & Surf. Turn-key vacation rental with a bunch of 5 star reviews on VRBO, Fully furnished. Beautiful kitchen with an inlayed surfboard countertop. Two beds & baths with a cute back patio. Buy this gem and get your beach house!",SingleFamily,1970,Other,Ceiling Fan,"Carport, Garage - Attached",696,2,2,2,1127,0,0,Capitola,Main Street Elementary School,7,1.2,New Brighton Middle School,6,0.4,Harbor High School,7,2.7,"Tile, Carpet, Hardwood",,,"Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",,"Carport, Garage - Attached",923100,11150,2017/7/28,925000,2017/9/11,882500,Capitola,95010,CA
30,9911 Holmes Ave,430000,"This lovely one owner home has 3 bedrooms, 1.25 baths features a walk-in bathtub, eat-in kitchen, in-home laundry, large enclosed patio, and a two-year old roof.  In addition, it sit on a 6,648 square foot lot that is perfect for family gatherings where the family is able to picnic in their own backyard.  The prior owners took great pride in ownership as shown by the well maintained yard.  This property is a must see and won't last long as it is awaiting a new family to create memorable moments.",SingleFamily,1957,,Wall/Window Unit(s),Garage - Attached,6648,3,2,1,1220,1,1,Los Angeles,Griffin Avenue Elementary School,4,7.8,Edwin Markham Middle School,3,0.4,,,,,,Wall/Window Unit(s),,"Gas & Electric Dryer Hookup, Inside",Garage - Attached,215535,3069,2019/11/22,410000,,,Los Angeles,90002,CA
31,5012 Gelia Way,910000,"This 4 bed 2.5 bath Mediterranean Style home was built in 2003 the sq ft is 1,723. The home is modern and perfectly placed adjacent to the Almaden Walmart and ?§ƒ? mile from the Hwy 85 & Almaden Expressway junctions. Agents can access for viewing any time. Offers will be presented to Owner as received. Motivated Seller, quick sale is ideal.",SingleFamily,2003,Forced Air,Central AC,"Garage, Garage - Attached, Covered",3027,4,2,2,1723,2,2,San Jose,Almaden Elementary School,4,0.4,John Muir Middle School,5,0.3,Pioneer High School,7,0.5,,Forced air,Central,,,"Garage, Garage - Attached, Covered",1000000,12957,2019/10/1,1115000,,,San Jose,95118,CA
